word,count
special,4
yesterday,4
behind,4
heat,4
drop,4
being,4
teenage,4
already,4
wheel,4
truly,4
carry,4
thinking,4
cherish,4
rush,4
lucky,4
brother,4
boom,4
holding,4
sister,4
flame,4
freak,4
doctor,4
mad,4
100,4
along,4
clover,4
chapel,4
matter,4
yo,4
isnt,4
shame,4
short,4
hungry,4
underneath,4
picnic,4
sweat,4
venus,4
happiness,4
fat,4
freedom,4
bell,4
boo,4
bottle,4
e,4
seemed,4
doin,4
maria,4
stuff,4
great,4
middle,4
luv,4
dirt,4
very,4
losing,4
children,4
sin,4
year,4
flow,4
supposed,4
doesnt,4
sally,4
sign,4
bomp,4
shop,4
cars,4
tight,4
tomorrow,4
poison,4
jimmy,4
cat,4
sometimes,4
against,4
ivory,4
any,4
bongo,4
throw,4
bag,4
dat,4
shack,4
pie,4
hooked,4
box,4
since,4
brokenhearted,4
donna,4
bay,4
whatever,4
sail,4
feelin,4
smooth,4
maybe,4
ice,4
5,4
snow,4
return,4
mony,4
sweetest,4
minute,4
romeo,4
dress,4
flying,4
cindy,4
mmm,4
hop,4
meet,4
moves,4
somebodys,4
four,4
tall,4
surfin,3
cmon,3
mack,3
stronger,3
dust,3
lil,3
strange,3
lollipop,3
sure,3
miracle,3
called,3
believer,3
teardrops,3
jeans,3
union,3
yowsah,3
de,3
darlin,3
stereo,3
ma,3
thinkin,3
hook,3
fame,3
hip,3
vu,3
purple,3
comin,3
land,3
mockingbird,3
impossible,3
listen,3
anyone,3
floor,3
dancin,3
superman,3
half,3
cotton,3
oops,3
blah,3
knockin,3
lotta,3
march,3
pony,3
human,3
laughing,3
different,3
jumpin,3
watching,3
san,3
counting,3
ask,3
piece,3
cha,3
locomotion,3
poppin,3
married,3
edge,3
searchin,3
juliet,3
check,3
clothes,3
dying,3
empty,3
damn,3
needed,3
monkey,3
beep,3
minutes,3
oclock,3
bottoms,3
crockett,3
follow,3
win,3
worth,3
kids,3
highway,3
wall,3
twistin,3
diggity,3
bitty,3
di,3
macarena,3
disguise,3
greatest,3
lies,3
lookin,3
york,3
yummy,3
grass,3
superstar,3
steal,3
finger,3
jean,3
harlem,3
shy,3
getting,3
message,3
awhile,3
cowboys,3
davy,3
southern,3
